kind,.pred_AI,.pred_class,detector,native,prompt,document,document_id,char_count,readability_score,sentiment_score,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh,word_count,sentence_count,avg_word_length,unique_word_count,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh,keyword_I,keyword_my,keyword_we,keyword_me,keyword_feel,keyword_love,keyword_hate,keyword_afraid,keyword_gonna,keyword_wanna,keyword_you,keyword_know,keyword_kinda,keyword_like,keyword_uh
AI,0.9883896112442,AI,OriginalityAI,,Plain,"

This report discusses the implementation and evaluation of Bidirectional Attention Flow with Self-Attention (BiDAF-SA) architecture for the task of question answering. BiDAF-SA combines three components: (1) a fusion of character-level and word-level embeddings, (2) a bidirectional attention mechanism, and (3) a self-attention layer. We evaluate the effectiveness of BiDAF-SA on the Stanford Question Answering Dataset (SQuAD 2.0) and achieve state-of-the-art performance. We perform an ablation study to investigate the impact of each component of the architecture and demonstrate that each component adds value to the overall system. The results suggest that BiDAF-SA is a promising architecture for question answering tasks and can be extended for other natural language processing applications.",28,802,19.06,0.765,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,128,5,5.3984375,82,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.0,Human,ZeroGPT,Yes,,"Title: Question Answering with Self-Attention
Abstract: Question Answering (QA) is an increasingly important topic in NLP with the proliferation of chatbots and virtual assistants.  In this project a QA system is built by exploring two end-to-end models: Firstly, the baseline BiDAF model was improved by adding a character embedding layer with multiple convolutional layers, an extra embeddings attention layer which captures the ""summary"" of the embedding vectors, a context-to-context self-attention layer, gated recurrent units (GRU) and Swish activation. Secondly, the QANet model was re-implemented from scratch and successfully explored some hyperparameter finetunings to improve performance.
The improved BiDAF model (SA-BiDAF++) incorporating self-attention, achieved 65.3 EM / 68.8 F1 scores on the test set of the SQuAD 2.0. That is a clear indication that architecture fine-tunings and optimizations can improve significantly the performance of non-PCE models.",837,972,26.71,0.9612,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,157,5,5.343949044585988,105,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AI,0.0,Human,ZeroGPT,,Elevate using technical,"This report proposes an approach to enhancing Out-of-Domain Question Answering (ODQA) by leveraging auxiliary loss and sequential layer unfreezing techniques. The lack of data and similarity between in-domain and out-of-domain questions creates a challenging ODQA task. In this study, a pre-trained language model is fine-tuned with an auxiliary loss function designed for improving ODQA performance. Additionally, sequential layer unfreezing is used to fine-tune individual layers of the pre-trained model, which further improves overall performance. Experimental results show significant performance gains compared to state-of-the-art ODQA models across multiple benchmark datasets. This study presents a promising direction towards improving ODQA system effectiveness.",701,771,12.22,0.8779,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,111,6,6.054054054054054,79,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,1.7122024598659813e-08,Human,GPTZero,Yes,,"Computers can affect people in many ways. Most people use computers too much and it can affect their health and the peole around them. People need to get out side and get more active. America is becoming obese and not getting any real useful information out of the computer. Some people are just sitting, mind lessly infront of their computer and eating at the same time! That makes things worse as not only are they not getting exercise, but now they are gaining weight as well as not losing any. This is the exact opposite of what a human should be doing. True people exercise every day. Being on the computer is not a bad thing, sometimes. Sometimes you need to find something about nature but wouldn't it be easier to go outside and find new think I dont live by the but you can to one all the woods cannot be just gone. Even your front yard is full of nature, and you will be getting some (not all) exercise at the same time. Familys are constantly having problems about family members who never have time to talk and funch holes in walls for losing a video game. Dr. @PERSON1 or ""The studies of the human mind"" says ""I found out technology and online gaming increases anger in most people."" That goes to show it can cause problems in familys everywhere because of a video game! So please make sure you try to spend time with your family. So that shows that the computer can be fun, but also dangerous.",78,1407,71.85,0.9143,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,291,16,3.9553264604811,165,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
AI,0.9999989470947308,AI,Sapling,,Elevate using technical,"The QANet model is a neural network architecture that has been specifically designed for tasks involving reading comprehension. Our study involved utilizing the QANet model to process the Stanford Question Answering Dataset (SQuAD) 2.0. We conducted various experiments by modifying hyperparameters and implementing diverse training techniques to optimize the model's performance on the SQuAD 2.0. Our results showed that the QANet model achieved state-of-the-art performance on the SQuAD 2.0 leaderboard. In addition, we compared our model's performance with other existing models and noted that QANet outperformed most of them. Thus, we conclude that utilizing QANet for reading comprehension tasks on SQuAD 2.0 represents an encouraging approach, and the optimization of the model may lead to even more significant improvements.",458,831,28.84,0.9165,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,132,6,5.401515151515151,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.0002527822798583,Human,Crossplag,Yes,,"Dear, In this world today we should have everyone useing computers. Computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Today computers are like the worlds biggest book of knowledge. everything you need to know is in a computer. You can look up faraway places, and zap theres everything you need to know write in front of you. Computers are fast and easy, everyone can use them. Today kids are so addicted to computers everyday they are on them. There are so many websites that kids and teens go on, like @CAPS1, and facebook ect. on these websites kids as young as ten years old are chatting with friends and putting up pictures. Thers is also webchat websites that allow you to use a webcame and talk to people anywhere in the world. Computers are a great way to get in touch with people. Everyone should have a computer in there home today.",185,991,66.23,0.9761,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,197,13,4.1421319796954315,102,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0
Human,0.0001680730492807,Human,HFOpenAI,Yes,,"Title: BiDAF with Character and Subword Embeddings for SQuAD
Abstract: In this paper, we have implemented subword embeddings and character-level embeddings on top of the word embeddings in the starter code.
For the character embeddings, we followed the approaches outlined in the BiDAF paper[1]. The character's representation vectors were randomly initiated and then passed through a convolutional neural network. We then applied the ReLu function, as well as downsampling it using the maxpool function to get the representation vector for every word.
For the subword embeddings, we utilized the implementation of the Byte Pair Encoding algorithm[2]. It segments the word by grouping character sequences that occur most frequently in its training data. We then looked up the representation vector for each subword, which is trained using the GloVe algorithm(The segmentation and vector representation are both implemented in the Python library bpemb)[3].  We utilized the maxpool function to get the representation vector of each word, and then used linear transformation to convert the input features to match the hidden layers. Finally, we concatenated the three types of embeddings and passed them through the Highway Networks.
Among the different types of models we have experimented with, the model with the concatenation of word embeddings and character-level embeddings performs the best on the SQuAD v2.0 dev set: EM=61.39, F1=65.05.

References
[1]Minjoon  Seo,  Aniruddha  Kembhavi,  Ali  Farhadi,  and  Hannaneh  Hajishirzi.   Bidirectionalattention flow for machine comprehension.arXiv preprint arXiv:1611.01603, 2016.
[2]Benjamin Heinzerling and Michael Strube.   Bpemb:  Tokenization-free pre-trained subwordembeddings in 275 languages.arXiv preprint arXiv:1710.02187, 2017.
[2]Jeffrey Pennington, Richard Socher, and Christopher D Manning.  Glove:  Global vectors forword representation.  InProceedings of the 2014 conference on empirical methods in naturallanguage processing (EMNLP), pages 1532-1543, 2014.",735,2024,31.99,0.7964,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,341,17,5.073313782991202,178,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AI,0.0001698272099019,Human,HFOpenAI,,Elevate using technical,"In this report, we present our methodology for constructing a question-answering (QA) system for the IID SQuAD track. Our QA system is composed of two primary components: (1) a machine learning model for foretelling the answer to a question provided with a text passage, and (2) a retrieval system for opting pertinent passages based on the asked question. For the answer prediction task, we use a modified version of the BERT model, which outperforms the existing SQuAD dataset standard. For the passage retrieval task, we tested multiple approaches, including BM25 and a neural network-based method. We combined these components in our final system using a re-ranking technique, which achieved competitive results in the IID SQuAD track, proving the effectiveness of our methodology.",376,785,38.25,0.1779,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,142,5,4.676056338028169,83,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Human,0.83660489320755,AI,Crossplag,Yes,,"Dear local newspaper, @DATE1 I am going to write to you about if I think computers are a good idea or not. Yes, I do think computers are @CAPS12 awesome idea. I think this because @CAPS1 @CAPS2, you use computers for school projects. Next @CAPS2, it is @CAPS12 easy way to make friends from other towns. Last @CAPS2, you @CAPS10 @CAPS11 @CAPS12 @CAPS13. Yes, the electric bill could be higher, but for a good cause. You @CAPS10't just assume computers are bad for us, you might be surprised. @CAPS1 @CAPS2, I am going to explain to you why we need computers to do projects. Well, I @CAPS5 from personal experience, my social studies teacher always likes you to type your final draft. Also, using a computer makes your projects easier because @CAPS3 @CAPS4 fixes your mistakes, and @ORGANIZATION1 finds everything you need. I find it much more easy to use a computer for projects and I @CAPS5 all of my friends think it is also. If you aren't persuaded yet, keep reading because I @CAPS5 you will be eventually! Next @CAPS2, I am going to talk to you about making friends just with a computer. I @CAPS5 that parents these days are really happy when you have come home and made new friends. Just by using a computer you could easily go online, search friends you want to @CAPS11 to @CAPS5 better, and chat with them. (to make sure they are who you think!) The other day my friend @PERSON1 came up to me and said meet my friend @CAPS6 I met online! I was really happy for her and realized computers are helpful. Everybody needs friends that are there for them, and computers are the perfect conclusion for that! Last @CAPS2, I am going to talk to you more about why and how you could @CAPS11 @CAPS12 @CAPS13. Do you @CAPS5 what @ORGANIZATION1 is? You @CAPS10 search @CAPS7 on @ORGANIZATION1! If you really wanted to @CAPS5 something and you were really curios you could search on @ORGANIZATION1! This is a great way to @CAPS11 educated. Also, computers help you with @CAPS12 @CAPS13 because everytime you are on @CAPS3 @CAPS4 typing a random story it will fix your mistakes, and you will learn off of these mistakes. So, to sum up this paragraph, a computer is @CAPS12 easy way to @CAPS11 @CAPS12 easy @CAPS13, and YOU need to keep computers to see for yourself. In conclusion, I was asked to write a paper to you seeing if I would like to keep computers or not. By now you @CAPS5 that I would like to. In case you are iffy about my reasons, I will simply restate them. @CAPS1, you need a computer for projects. Second, you @CAPS10 make friends. Last, you @CAPS11 @CAPS12 @CAPS13. All of these things are a huge benefit in laer life. Don't forget YOU @CAPS10 @CAPS11 @CAPS12 @CAPS13! That is whta everybody would like! I @CAPS5 you will come through to yourself and agree. Thank you for listening to me.",168,2800,74.59,0.999,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,631,37,3.6402535657686212,217,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0
AI,0.0022366491612046,Human,Crossplag,,Enhance like native,"In my view, schools ought to permit sports with inherent risks even though they may cause severe physical injuries. For one, it isn't the school's duty to entirely remove risks from students' lives; otherwise, they would need to ban science labs involving chemicals or sharp tools as they present potential hazards. Besides, students and their families should have the autonomy to decide their involvement in such activities, given that they don't put unaware bystanders in danger. Consequently, I strongly believe that schools should empower students to make choices about the sports they engage in, despite the associated risks.",369,630,46.61,-0.8692,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,114,4,4.675438596491228,82,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
